#######################
## Query Specifications
#######################
## TribPit Version = 1.1.22 or later
## Tag List Upload File = tag_list_EFPTRP_2015_2019.csv
## Species = 3
## Release Group Start Date = 2015-03-13
## Release Group End Date = 2019-06-05
## TagIDs Released = 3136
## Detection Date Note = Detection Date/Time is last detection at an interrogation site as determined by DART.
## Exclusions = Fish tagged as adults as determined by DART are excluded from the TribPit Observations File.
##     This determination is based on a combination of 1. tagging flags 2. length at tagging 3. capture method.
## LastDataDate = Last Possible Data Date 09/28/2025
## Generated = 29 Sep 2025 11:41:40 PDT
## Source = Columbia River DART. Data Courtesy of Pacific States Marine Fisheries Commission.
#######################


#RelGrpStartDate,RelGrpEndDate,TagID,SpRRT,RelVTime,Lgth,BrdYear,TagFile,MigrYear,TagDate,CoordID,RelSite,RiverKM,CaptureMeth,SessionMessage,ObsDateLast,ObsSite,ObsMonitor,ObsStage

2015-03-13,2019-06-05,384.3B23AA56FB ,32W,2015-03-13 12:07:00,124,,PRM15072.PET,2015,2015-03-13,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TRAPPING CSS,,,,
2015-03-13,2019-06-05,384.3B23AA6181 ,32W,2015-03-13 12:07:00,102,,PRM15072.PET,2015,2015-03-13,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TRAPPING CSS,,,,
2015-03-13,2019-06-05,384.3B23AC2943 ,32W,2015-03-20 11:22:00,104,,PRM15079.PET,2015,2015-03-20,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TRAPPING CSS,2015-05-18 22:49:36,HLM,UPSTREAM ARRAY,J
2015-03-13,2019-06-05,384.3B23ADF00B ,32W,2015-03-13 12:07:00,105,,PRM15072.PET,2015,2015-03-13,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TRAPPING CSS,2015-03-13 21:43:10,HLM,UPSTREAM ARRAY,J
2015-03-13,2019-06-05,384.3B23B2350A ,32W,2015-03-15 11:15:00,171,,PRM15074.PET,2015,2015-03-15,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TRAPPING CSS,,,,
2015-03-13,2019-06-05,384.3B23B2604B ,32W,2015-03-19 11:50:00,139,,PRM15078.PET,2015,2015-03-19,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TRAPPING CSS,2015-03-20 22:05:53,HLM,UPSTREAM ARRAY,J
2015-03-13,2019-06-05,3DD.003BC9E17C ,32W,2017-05-04 13:55:00,121,,PRM17124.PET,2017,2017-05-04,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TAGGING CSS,,,,
2015-03-13,2019-06-05,3DD.003BC9E17F ,32W,2017-05-03 13:00:00,143,,PRM17123.PET,2017,2017-05-03,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TAGGING CSS,2017-05-14 14:43:48,GOJ,DIVERSION RIVER EXIT,J
2015-03-13,2019-06-05,3DD.003BC9E180 ,32W,2017-05-04 13:55:00,101,,PRM17124.PET,2017,2017-05-04,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TAGGING CSS,,,,
2015-03-13,2019-06-05,3DD.003BC9E181 ,32W,2017-05-04 13:55:00,103,,PRM17124.PET,2017,2017-05-04,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TAGGING CSS,,,,
2015-03-13,2019-06-05,3DD.003BC9E185 ,32W,2017-05-04 13:55:00,132,,PRM17124.PET,2017,2017-05-04,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TAGGING CSS,2017-05-18 10:58:54,GRJ,DIVERSION RIVER EXIT,J
2015-03-13,2019-06-05,3DD.003BC9E187 ,32W,2017-05-04 13:55:00,82,,PRM17124.PET,2017,2017-05-04,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TAGGING CSS,,,,
2015-03-13,2019-06-05,3DD.003BC9E189 ,32W,2017-05-03 13:00:00,108,,PRM17123.PET,2017,2017-05-03,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TAGGING CSS,,,,
2015-03-13,2019-06-05,3DD.003BC9E18A ,32W,2017-05-03 13:00:00,99,,PRM17123.PET,2017,2017-05-03,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TAGGING CSS,,,,
2015-03-13,2019-06-05,3DD.003BC9E18E ,32W,2017-05-04 13:55:00,88,,PRM17124.PET,2017,2017-05-04,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TAGGING CSS,,,,
2015-03-13,2019-06-05,3DD.003BC9E191 ,32W,2017-05-03 13:00:00,86,,PRM17123.PET,2017,2017-05-03,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TAGGING CSS,,,,
2015-03-13,2019-06-05,3DD.003BC9E192 ,32W,2017-05-03 13:00:00,96,,PRM17123.PET,2017,2017-05-03,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TAGGING CSS,,,,
2015-03-13,2019-06-05,3DD.003BC9E193 ,32W,2017-05-04 13:55:00,106,,PRM17124.PET,2017,2017-05-04,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TAGGING CSS,,,,
2015-03-13,2019-06-05,3DD.003BC9E194 ,32W,2017-05-03 13:00:00,99,,PRM17123.PET,2017,2017-05-03,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TAGGING CSS,,,,
2015-03-13,2019-06-05,3DD.003BC9E195 ,32W,2017-05-04 13:55:00,106,,PRM17124.PET,2017,2017-05-04,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TAGGING CSS,,,,
2015-03-13,2019-06-05,3DD.003BC9E196 ,32W,2017-05-04 13:55:00,147,,PRM17124.PET,2017,2017-05-04,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TAGGING CSS,,,,
2015-03-13,2019-06-05,3DD.003BC9E199 ,32W,2017-05-04 13:55:00,94,,PRM17124.PET,2017,2017-05-04,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TAGGING CSS,,,,
2015-03-13,2019-06-05,3DD.003BC9E19A ,32W,2017-05-03 13:00:00,83,,PRM17123.PET,2017,2017-05-03,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TAGGING CSS,,,,
2015-03-13,2019-06-05,3DD.003BC9E19C ,32W,2017-05-04 13:55:00,139,,PRM17124.PET,2017,2017-05-04,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TAGGING CSS,2017-05-21 12:14:56,GOJ,DIVERSION RIVER EXIT,J
2015-03-13,2019-06-05,3DD.003BC9E19D ,32W,2017-05-04 13:55:00,130,,PRM17124.PET,2017,2017-05-04,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TAGGING CSS,,,,
2015-03-13,2019-06-05,3DD.003BC9E1A1 ,32W,2017-05-03 13:00:00,91,,PRM17123.PET,2017,2017-05-03,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TAGGING CSS,,,,
2015-03-13,2019-06-05,3DD.003BC9E1A2 ,32W,2017-05-04 13:55:00,106,,PRM17124.PET,2017,2017-05-04,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TAGGING CSS,,,,
2015-03-13,2019-06-05,3DD.003BC9E1A7 ,32W,2017-05-04 13:55:00,145,,PRM17124.PET,2017,2017-05-04,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TAGGING CSS,2017-05-20 12:14:17,GOJ,DIVERSION RIVER EXIT,J
2015-03-13,2019-06-05,3DD.003BC9E1A7 ,32W,2017-05-04 13:55:00,145,,PRM17124.PET,2017,2017-05-04,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TAGGING CSS,2017-05-26 10:44:10,JDJ,FULL FLOW BYPASS,J
2015-03-13,2019-06-05,3DD.003BC9E1A8 ,32W,2017-05-03 13:00:00,104,,PRM17123.PET,2017,2017-05-03,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TAGGING CSS,,,,
2015-03-13,2019-06-05,3DD.003BC9E1AA ,32W,2017-05-03 13:00:00,168,,PRM17123.PET,2017,2017-05-03,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TAGGING CSS,,,,
2015-03-13,2019-06-05,3DD.003BC9E1AC ,32W,2017-05-03 13:00:00,88,,PRM17123.PET,2017,2017-05-03,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TAGGING CSS,,,,
2015-03-13,2019-06-05,3DD.003BC9E1AD ,32W,2017-05-03 13:00:00,114,,PRM17123.PET,2017,2017-05-03,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TAGGING CSS,,,,
2015-03-13,2019-06-05,3DD.003BC9E1B0 ,32W,2017-05-04 13:55:00,99,,PRM17124.PET,2017,2017-05-04,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TAGGING CSS,2018-05-13 03:08:42,GRJ,RACEWAY EAST,J
2015-03-13,2019-06-05,3DD.003BC9E1B2 ,32W,2017-05-04 13:55:00,117,,PRM17124.PET,2017,2017-05-04,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TAGGING CSS,,,,
2015-03-13,2019-06-05,3DD.003BC9E1B4 ,32W,2017-05-04 13:55:00,137,,PRM17124.PET,2017,2017-05-04,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TAGGING CSS,,,,
2015-03-13,2019-06-05,3DD.003BC9E1B5 ,32W,2017-05-04 13:55:00,89,,PRM17124.PET,2017,2017-05-04,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TAGGING CSS,,,,
2015-03-13,2019-06-05,3DD.003BC9E1B7 ,32W,2017-05-03 13:00:00,110,,PRM17123.PET,2017,2017-05-03,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TAGGING CSS,,,,
2015-03-13,2019-06-05,3DD.003BC9E1BA ,32W,2017-05-03 13:00:00,94,,PRM17123.PET,2017,2017-05-03,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TAGGING CSS,,,,
2015-03-13,2019-06-05,3DD.003BC9E1BB ,32W,2017-05-04 13:55:00,101,,PRM17124.PET,2017,2017-05-04,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TAGGING CSS,,,,
2015-03-13,2019-06-05,3DD.003BC9E1BE ,32W,2017-05-03 13:00:00,86,,PRM17123.PET,2017,2017-05-03,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TAGGING CSS,,,,
2015-03-13,2019-06-05,3DD.003BC9E1C0 ,32W,2017-05-04 13:55:00,98,,PRM17124.PET,2017,2017-05-04,PRM,POTREF,522.224.024.065,SCREWT,PRSME JUVENILE TAGGING CSS,,,,
